output_1,output_2,output_3
1.0,1.0,21.44918099714132
0.0,4.0,1243.545979137852
0.0,4.0,1268.766537981339
0.0,2.0,1274.848126530157
1.0,3.0,96.49635479848796
1.0,2.0,130.0479811046026
1.0,1.0,-0.02041094615105976
0.0,7.0,1331.062158780986
0.0,3.0,1043.960562247657
1.0,11.0,73.69435853092129
1.0,1.0,0.03196877476511872
1.0,1.0,38.34053802973205
1.0,1.0,-0.01122375863610614
1.0,5.0,181.5403483247273
1.0,3.0,-0.002722975782603498
1.0,2.0,0.0154206759709723
1.0,2.0,0.003350057259581263
1.0,3.0,0.5853084893725956
0.0,1.0,1188.543191864909
0.0,0.0,1348.609727179444
1.0,5.0,17.87020495068273
1.0,3.0,-0.002869312654297573
1.0,9.0,508.2293246617194
0.0,7.0,559.8448901605002
0.0,0.0,384.817296439757
1.0,5.0,68.98882535555157
0.0,7.0,883.9483990939735
1.0,4.0,103.4260667160435
1.0,8.0,94.07664695112672
1.0,9.0,117.472929479901
0.0,4.0,1312.733456209755
1.0,5.0,543.8718876307462
1.0,1.0,-0.0001267106368914028
1.0,2.0,34.2676714094204
1.0,3.0,-0.001468667790959444
1.0,4.0,18.22381457262104
0.0,1.0,803.4202288333177
1.0,1.0,0.03449112843145485
1.0,1.0,0.02123511513877929
1.0,5.0,83.84921166506656
1.0,1.0,0.002480203581626483
1.0,1.0,-0.00204752565389299
1.0,3.0,0.002338629579526241
1.0,13.0,0.003651213017292321
0.0,2.0,1239.713215812569
1.0,8.0,0.002334965713544079
1.0,1.0,-0.02723921818278541
1.0,1.0,97.46727770938963
1.0,4.0,230.9032907020184
1.0,6.0,66.31190365031202
1.0,2.0,-0.0003061928915712997
0.0,5.0,877.1195603187834
1.0,1.0,-0.009232804103021408
0.0,4.0,961.5341402211563
0.0,8.0,866.5363448716286
1.0,1.0,0.0005296280177162771
1.0,7.0,308.667187930339
1.0,6.0,448.8159741719335
0.0,6.0,998.6370491257956
0.0,0.0,1263.529817180708
0.0,2.0,1624.114189742297
0.0,5.0,1196.228153794002
1.0,1.0,0.003760007963364842
0.0,1.0,993.576152504686
1.0,7.0,0.05353903590753362
1.0,2.0,14.55853818201145
1.0,6.0,204.2280298692283
1.0,1.0,-0.03110021808629426
1.0,3.0,116.4750707146356
1.0,6.0,90.70940911749508
1.0,2.0,432.9114155255359
1.0,6.0,0.002718909568557137
0.0,2.0,720.2209456071579
1.0,1.0,59.28378750055158
0.0,0.0,1290.946144197421
1.0,1.0,-0.001970827082459436
1.0,1.0,0.004269112110250717
1.0,6.0,323.8743464769479
0.0,2.0,1580.522727464052
0.0,2.0,1149.620973806124
1.0,4.0,204.9060161099322
0.0,7.0,1299.381563965599
1.0,1.0,0.02529018790914961
1.0,3.0,0.0006331776213528428
1.0,9.0,336.308734182888
0.0,1.0,860.2477429899029
1.0,5.0,87.38561665730715
0.0,0.0,1041.10677327692
1.0,1.0,-0.0009490067869819541
1.0,1.0,0.003201986712497273
1.0,8.0,0.01037892365616244
1.0,12.0,291.2205015401856
1.0,5.0,169.7529362276019
1.0,1.0,58.82430370280718
0.0,3.0,944.4775653588548
1.0,1.0,3.543889193815065
1.0,8.0,104.8798617878539
1.0,3.0,181.4196824932326
1.0,1.0,20.47084984522891
0.0,0.0,828.0288220642449
1.0,1.0,-0.01431654333487131
1.0,6.0,16.04321690592839
1.0,4.0,432.8832602269532
0.0,5.0,973.7189452012898
1.0,2.0,0.004122687672520442
1.0,1.0,86.65417397227077
1.0,1.0,0.001520185120796214
1.0,6.0,179.0028807360729
0.0,2.0,1111.126622775873
0.0,5.0,1146.106660380835
1.0,4.0,16.40474646974747
1.0,6.0,52.91536893446386
1.0,2.0,-0.03534013643388789
1.0,7.0,706.017881805313
1.0,4.0,44.02694881868095
0.0,2.0,1110.651201354172
1.0,1.0,-0.01537421081093271
1.0,2.0,-0.04394823776510748
1.0,1.0,85.02766817252686
1.0,2.0,34.92927552393358
1.0,5.0,654.3916541118233
0.0,0.0,1417.283745516243
0.0,7.0,987.958311413018
1.0,5.0,503.2967338647326
1.0,1.0,11.62649771535916
1.0,5.0,197.3500706415528
1.0,5.0,382.1646287981533
1.0,5.0,218.1797035504387
1.0,7.0,41.32127797301752
0.0,1.0,904.9977661258702
1.0,12.0,96.14688391323149
1.0,7.0,48.87128942239944
0.0,6.0,787.3280647110576
0.0,6.0,1035.077112718105
1.0,4.0,58.36519378462062
1.0,5.0,9.167882096953365
0.0,0.0,1142.214132435367
1.0,9.0,975.9414660846347
1.0,3.0,98.8497852150208
1.0,2.0,-0.001603280006747809
1.0,5.0,96.3866599902898
1.0,1.0,0.02306485454164431
1.0,7.0,314.7699104943954
1.0,4.0,71.75376662038047
0.0,3.0,1032.804946073918
1.0,3.0,83.18086427384962
1.0,6.0,0.003639287811438408
1.0,9.0,-0.01903502681238933
1.0,1.0,0.004947197163232886
1.0,14.0,359.6384858896515
1.0,5.0,194.0997282602659
1.0,3.0,0.01047371850347645
1.0,1.0,0.001113829025143787
1.0,10.0,41.93110485125979
0.0,3.0,1011.434884999698
1.0,3.0,0.01725277180457852
1.0,4.0,75.77194992862435
1.0,4.0,2.585007637282875
1.0,1.0,-0.03287204207072136
